11153, 2024-03-01, "Gestures of Memory: Shorts", 82, "We see how creative interventions can be used to disrupt and reimagine colonial methods of making images through technology, with the images themselves becoming something malleable and objects in their own right.   These moving-image films are brought together through their shared investigations of image-making in response to place. In a so-called archive, the architecture of the archive is reconsidered to speculate on what it once held, whilst the extraction of material is placed in parallel to the extraction of the camera in Golden Jubilee and Scenes of Extraction. We see how creative interventions can be used to disrupt and reimagine colonial methods of making images through technology, with the images themselves becoming something malleable and objects in their own right. The filmmakers are activators in the process of alternative memory-making in response to personal and collective histories, which expand beyond the image and its hold.  Golden Jubilee Film on Film / Director Suneil Sanzgiri  UK/India, 2021, 19m, Konkani/English with subtitles, PG Thanks to LUX  A So-Called archive Film on Film / Director Onyeka Igwe  UK, 2020, 20m, English, PG, Thanks to LUX  Sahnehaye Estekhraj (Scenes of Extraction) Film on Film / Director Sanaz Sohrabi  Canada, 2023, 43m, Farsi/English with subtitles", null, "Shorts", "N/C 15+", ""
11155, 2024-03-01, "Bend it Like Beckham", 112, "Revisit, or meet for the first time, this iconic romantic-comedy. Starring Parminder Nagra and a teenage Keira Knightley as Jess and Jules, who become fast-friends through a shared love of the ‘beautiful game’!  Jess is desperate to play football, but her conservative Indian Punjabi Sikh parents won’t allow it. When she’s kicking the ball around for fun, her skills are noticed by Jules, who convinces her to join her semi-pro team, the Hounslow Harriers. As Jess manages to find a way to play whilst hiding her forbidden secret from her family, she begins to develop romantic feelings for the team’s coach, Joe. At the time of its release, Gurinder Chadha’s early 2000s classic crossed cultural barriers with ease and was arguably, ahead of its time. Twenty-two years later one must ask, is the real love story between Jess and Jules? ", "Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers", "Comedy", "12", "Injury Detail, Strong Language, Mild physical violence, Mild sexual references, Racism / discrimination / slurs"
11189, 2024-03-01, "La Chimera", 130, "The Crown’s Josh O’Connor stars as an adrift Englishman with an unusual talent in this playful drama centring on a gang of grave robbers on the hunt for ancient Etruscan relics.  The Crown’s Josh O’Connor proves he’s just as good in Italian as he is in English in Alice Rohrwacher’s heady mix of gritty social drama and magical realism. He plays adrift Englishman Arthur, who is mourning his lost love and whose dowsing talents see him join a group of grave robbers to locate ancient artefacts. There’s never a dull moment as Rohrwacher dips in and out of Arthur’s reveries at the same time as he is drawn to Italia (Carol Duarte), who is the helpmate of his lost girlfriend’s mum (Isabella Rossellini). A tale of intrigue that offers plenty to unearth.                                                      Italian and English with English subtitles.", "Josh O'Connor, Carol Duarte, Vincenzo Nemolato ", "Adventure", "N/C 15+", "Strong Language, Mild physical violence, Mild sexual references"
11189, 2024-03-02, "La Chimera", 130, "The Crown’s Josh O’Connor stars as an adrift Englishman with an unusual talent in this playful drama centring on a gang of grave robbers on the hunt for ancient Etruscan relics.  The Crown’s Josh O’Connor proves he’s just as good in Italian as he is in English in Alice Rohrwacher’s heady mix of gritty social drama and magical realism. He plays adrift Englishman Arthur, who is mourning his lost love and whose dowsing talents see him join a group of grave robbers to locate ancient artefacts. There’s never a dull moment as Rohrwacher dips in and out of Arthur’s reveries at the same time as he is drawn to Italia (Carol Duarte), who is the helpmate of his lost girlfriend’s mum (Isabella Rossellini). A tale of intrigue that offers plenty to unearth.                                                      Italian and English with English subtitles.", "Josh O'Connor, Carol Duarte, Vincenzo Nemolato ", "Adventure", "N/C 15+", "Strong Language, Mild physical violence, Mild sexual references"
11190, 2024-03-01, "Lousy Carter", 80, "When a self-absorbed literature professor is told he only has six months to live, instead of trying to turn his life around he decides he has nothing left to lose.  Bob Byington offers a slyly subversive take on traditional terminal diagnosis films in his latest indie comedy. Character actor David Krumholtz (recently seen in Oppenheimer) takes centre-stage. He plays a self-absorbed literature professor teaching The Great Gatsby to an audience of disengaged students, who is told he only has six months left to live. While this might trigger an epiphany in others to live their best lives, Lousy takes the route indicated by his name -  considering an affair with one of his students. Byington explores his character with a sardonic but affectionate absurdity.         ", "David Krumholtz, Martin Starr, Olivia Thirlby", "Comedy", "N/C 12+", "Drug Use, Strong Language"
11190, 2024-03-02, "Lousy Carter", 80, "When a self-absorbed literature professor is told he only has six months to live, instead of trying to turn his life around he decides he has nothing left to lose.  Bob Byington offers a slyly subversive take on traditional terminal diagnosis films in his latest indie comedy. Character actor David Krumholtz (recently seen in Oppenheimer) takes centre-stage. He plays a self-absorbed literature professor teaching The Great Gatsby to an audience of disengaged students, who is told he only has six months left to live. While this might trigger an epiphany in others to live their best lives, Lousy takes the route indicated by his name -  considering an affair with one of his students. Byington explores his character with a sardonic but affectionate absurdity.         ", "David Krumholtz, Martin Starr, Olivia Thirlby", "Comedy", "N/C 12+", "Drug Use, Strong Language"
11208, 2024-03-01, "Sleep", 95, "A couple find their marriage deteriorating after a disturbing episode when the husband declares in his sleep, “Someone’s inside”. This marks the start of a descent into nerve-jangling horror.   Life is good for newlyweds Soo-jin (Jung Yu-mi) and Hyun-su (Lee Sun-kyun), who have their first child on the way. But when a disturbing incident sees Hyun-su declare in his sleep, “Someone’s inside”, their relationship is suddenly under pressure. The nocturnal incidents begin to escalate, as Hyun-su appears to transform into someone else at night, with no memory of what has happened in the morning. Is it a sleep disorder, or something more supernatural? As Jason Yu turns the screw in this nerve-jangling horror, Soo-jin becomes increasingly paranoid and sleepless as she fears what will happen during the night.   Korean with English Subtitles.", "Kim Gook Hee, Lee Sun-kyun, Jung Yu-mi", "Comedy", "N/C 15+", ""
11208, 2024-03-02, "Sleep", 95, "A couple find their marriage deteriorating after a disturbing episode when the husband declares in his sleep, “Someone’s inside”. This marks the start of a descent into nerve-jangling horror.   Life is good for newlyweds Soo-jin (Jung Yu-mi) and Hyun-su (Lee Sun-kyun), who have their first child on the way. But when a disturbing incident sees Hyun-su declare in his sleep, “Someone’s inside”, their relationship is suddenly under pressure. The nocturnal incidents begin to escalate, as Hyun-su appears to transform into someone else at night, with no memory of what has happened in the morning. Is it a sleep disorder, or something more supernatural? As Jason Yu turns the screw in this nerve-jangling horror, Soo-jin becomes increasingly paranoid and sleepless as she fears what will happen during the night.   Korean with English Subtitles.", "Kim Gook Hee, Lee Sun-kyun, Jung Yu-mi", "Comedy", "N/C 15+", ""
11219, 2024-03-01, "The Teachers' Lounge", 98, "An idealistic teacher finds her good intentions leave her trapped in a moral maze after she tries to get to the bottom of school thefts in lker Çatak’s tense drama.   Official Entry: Germany - Best International Feature - 96th Academy Awards®  Idealistic teacher Carla (Leonie Benesch), decides to take matters into her own hands after a spate of school thefts leaves a young child unfairly targeted. Using morally debatable methods she zeroes in on a culprit within the faculty - a situation complicated by the fact they have a child in the school. Soon Carla is feeling the heat not just from her colleagues but also from the children and their parents. lker Çatak never lets the tension slack as we see the uncompromising school system turn on those within it, fracturing Carla’s life in the process.  \"Effectively imagines what seventh grade might be like if the curriculum were determined by Michael Haneke\" - Indiewire  German, Turkish, Polish and English with English subtitles.", "Leonie Benesch, Leonard Stettnisch, Eva Löbau", "Drama", "N/C 15+", "Xenophobia, Strong Language, Mild physical violence"
11219, 2024-03-02, "The Teachers' Lounge", 98, "An idealistic teacher finds her good intentions leave her trapped in a moral maze after she tries to get to the bottom of school thefts in lker Çatak’s tense drama.   Official Entry: Germany - Best International Feature - 96th Academy Awards®  Idealistic teacher Carla (Leonie Benesch), decides to take matters into her own hands after a spate of school thefts leaves a young child unfairly targeted. Using morally debatable methods she zeroes in on a culprit within the faculty - a situation complicated by the fact they have a child in the school. Soon Carla is feeling the heat not just from her colleagues but also from the children and their parents. lker Çatak never lets the tension slack as we see the uncompromising school system turn on those within it, fracturing Carla’s life in the process.  \"Effectively imagines what seventh grade might be like if the curriculum were determined by Michael Haneke\" - Indiewire  German, Turkish, Polish and English with English subtitles.", "Leonie Benesch, Leonard Stettnisch, Eva Löbau", "Drama", "N/C 15+", "Xenophobia, Strong Language, Mild physical violence"
11220, 2024-03-01, "The Universal Theory", 118, "The multiverse gets a makeover in this intelligent and intriguing tale of a scientist, his supervising professor and a mysterious hotel pianist, unfolding at a physics conference as murder enters the equation.  The spirit of Hitchcock pumps through the veins of this intelligent metaphysical noir that gives the multiverse an old school makeover. After a prologue in which writer Johannes (Jan Bülow) insists that his science-fiction novel is actually a true account, the action then whisks back to the 1960s. There, the young Johannes is heading for a conference on quantum theory with his stern professor (Hanns Zischler), encountering a second academic, Professor Henry Blomberg (Gottfried Breitfuss) on the way. Timm Kröger’s film quickly develops into an stylish and intriguing mystery, involving an enigmatic hotel pianist (Olivia Ross) and a series of murders.  German, Italian, Swiss German, French and English with English subtitles.", "Jan Bülow, Olivia Ross, Hanns Zischler ", "Drama", "N/C 15+", ""
11220, 2024-03-02, "The Universal Theory", 118, "The multiverse gets a makeover in this intelligent and intriguing tale of a scientist, his supervising professor and a mysterious hotel pianist, unfolding at a physics conference as murder enters the equation.  The spirit of Hitchcock pumps through the veins of this intelligent metaphysical noir that gives the multiverse an old school makeover. After a prologue in which writer Johannes (Jan Bülow) insists that his science-fiction novel is actually a true account, the action then whisks back to the 1960s. There, the young Johannes is heading for a conference on quantum theory with his stern professor (Hanns Zischler), encountering a second academic, Professor Henry Blomberg (Gottfried Breitfuss) on the way. Timm Kröger’s film quickly develops into an stylish and intriguing mystery, involving an enigmatic hotel pianist (Olivia Ross) and a series of murders.  German, Italian, Swiss German, French and English with English subtitles.", "Jan Bülow, Olivia Ross, Hanns Zischler ", "Drama", "N/C 15+", ""
11228, 2024-03-01, "Mr Smith Goes To Washington", 129, "PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.  A sharply scripted David and Goliath crowd pleaser, directed with panache by Frank Capra, sees James Stewart’s good-hearted small-town senator refuse to be cowed by the political corruption of Washington.  James Stewart enjoyed a career of grand roles but was arguably never better than in this Oscar-nominated performance as Jefferson Smith. Frank Capra’s consideration of political corruption, meanwhile, has lost none of its potency down the years. When a senator dies mid-term, wet-behind-the-ears patriot Smith is viewed as the perfect pawn by a cynical political machine intent on driving a lucrative bill into law. The morally upstanding Smith, however, has other ideas and sets about fighting for democracy with the help of his canny-minded secretary Clarissa (Jean Arthur, sparkling). A quick-witted and sharp-scripted crowdpleaser, featuring excellent support from Claude Rains.", "James Stewart, Jean Arthur, Claude Rains", "Drama", "U", "Mild Threat, Suicide "
11123, 2024-03-02, "Falling Into Place", 113, "Wintry Skye provides the beautiful backdrop for the start of a will they/won’t they romance between a woman and a man who, in running away from themselves, might find each other.  The first flush of desire burns against the wintry backdrop of Skye at the start of Aylin Tezel’s will they/won’t they romance. Tezel also stars as Kira, whose romantic getaway has turned into a sad retreat after she split up with her boyfriend. There, she encounters Ian (Chris Fulton), who has brought plenty of emotional baggage on a trip back home. Their meet-cute blossoms into a night of giddy flirtation before Tezel shows what happens after they return separately to their less than happy lives in London. A slow-burn romantic treat filled with a yearning melancholy reminiscent of John Carney’s Once.", "Aylin Tezel, Chris Fulton, Olwen Fouéré, Alexandra Dowling, Samuel Anderson", "Romance", "N/C 15+", "Strong Language, Mild sexual references, Mental health issues"
11123, 2024-03-03, "Falling Into Place", 113, "Wintry Skye provides the beautiful backdrop for the start of a will they/won’t they romance between a woman and a man who, in running away from themselves, might find each other.  The first flush of desire burns against the wintry backdrop of Skye at the start of Aylin Tezel’s will they/won’t they romance. Tezel also stars as Kira, whose romantic getaway has turned into a sad retreat after she split up with her boyfriend. There, she encounters Ian (Chris Fulton), who has brought plenty of emotional baggage on a trip back home. Their meet-cute blossoms into a night of giddy flirtation before Tezel shows what happens after they return separately to their less than happy lives in London. A slow-burn romantic treat filled with a yearning melancholy reminiscent of John Carney’s Once.", "Aylin Tezel, Chris Fulton, Olwen Fouéré, Alexandra Dowling, Samuel Anderson", "Romance", "N/C 15+", "Strong Language, Mild sexual references, Mental health issues"
11136, 2024-03-02, "Restore Point", 111, "In 2041 an unnatural death doesn’t have to mean the end. When a developer of the technology and his wife are murdered, a detective becomes mired in the case.  Robert Hloz’s stylish sci-fi thriller imagines a near-future world where technological developments mean an unnatural death doesn’t have to mean the end. With echoes of Minority Report and Blade Runner, the action follows Detective Trochinowska (Andrea Mohylová). She is called in to investigate the murders of a developer of the immortalising technology (Matěj Hádek) and his wife, whose life-restoring back-ups have also been erased. Although an anti-restoration terror group River of Life are initially the prime suspects… Torchinowska begins to suspect more sinister corporate forces may be at play and finds herself with investigative help from an unexpected quarter.   Czech with English subtitles", "Andrea Mohylová, Matej Hádek, Milan Ondrík", "Sci-Fi", "N/C 15+", "Murder, Suicide, Violence, Strong Language/ Swearing, Mild sexual references, Racism/ discrimination/ slurs"
11136, 2024-03-03, "Restore Point", 111, "In 2041 an unnatural death doesn’t have to mean the end. When a developer of the technology and his wife are murdered, a detective becomes mired in the case.  Robert Hloz’s stylish sci-fi thriller imagines a near-future world where technological developments mean an unnatural death doesn’t have to mean the end. With echoes of Minority Report and Blade Runner, the action follows Detective Trochinowska (Andrea Mohylová). She is called in to investigate the murders of a developer of the immortalising technology (Matěj Hádek) and his wife, whose life-restoring back-ups have also been erased. Although an anti-restoration terror group River of Life are initially the prime suspects… Torchinowska begins to suspect more sinister corporate forces may be at play and finds herself with investigative help from an unexpected quarter.   Czech with English subtitles", "Andrea Mohylová, Matej Hádek, Milan Ondrík", "Sci-Fi", "N/C 15+", "Murder, Suicide, Violence, Strong Language/ Swearing, Mild sexual references, Racism/ discrimination/ slurs"
11168, 2024-03-02, "Bleeding Love", 96, "Ewan McGregor stars alongside his daughter Clara as a dad who goes on a poignant road trip with his estranged daughter after she almost loses her life to an overdose.  Ewan McGregor stars alongside his daughter Clara, who co-wrote the script with Vera Bulder and Ruby Caster and who has said that though it is fiction, aspects of it draw on her sometimes tricky relationship with her dad in the past. Emma Westenberg’s touching debut sees McGregor’s recovering alcoholic dad pick up his estranged daughter after she has a near-fatal drug overdose. He is planning to take her to rehab - though she doesn’t know that. The trip is less about the road that they’re on than the troubled one from their past, as they reconnect in this raw and heartfelt drama. ", "Ewan McGregor, Jake Weary, Clara McGregor", "Drama", "N/C", "Drug Use, Mild sexual references"
11168, 2024-03-03, "Bleeding Love", 96, "Ewan McGregor stars alongside his daughter Clara as a dad who goes on a poignant road trip with his estranged daughter after she almost loses her life to an overdose.  Ewan McGregor stars alongside his daughter Clara, who co-wrote the script with Vera Bulder and Ruby Caster and who has said that though it is fiction, aspects of it draw on her sometimes tricky relationship with her dad in the past. Emma Westenberg’s touching debut sees McGregor’s recovering alcoholic dad pick up his estranged daughter after she has a near-fatal drug overdose. He is planning to take her to rehab - though she doesn’t know that. The trip is less about the road that they’re on than the troubled one from their past, as they reconnect in this raw and heartfelt drama. ", "Ewan McGregor, Jake Weary, Clara McGregor", "Drama", "N/C", "Drug Use, Mild sexual references"
11172, 2024-03-02, "Disco Boy", 92, "An undocumented immigrant who signs up to the Foreign Legion becomes increasingly psychologically troubled after a mission to the Niger Delta in this gripping and hallucinatory character study, starring Franz Rogowski.  German star Franz Rogowski (Victoria, Passages) brings an intense and unpredictable energy to the central role in Giacomo Abbruzzese’s trippy and gripping debut. He plays Aleksei, a Belarussian undocumented immigrant to France, who signs up with the Foreign Legion  to gain citizenship. His story intertwines with that of guerrilla fighter Jomo (Morr Ndiaye) and his sister Udoka (Laetitia Ky) on a mission to rescue hostages in the Niger Delta. From that point - involving a stunning night-vision fight scene - Aleksei starts to psychologically unravel as his return to France sparks a hallucinatory and haunting obsession, all set to a pulsing electro-score from Vitalic.      Ibo, French, Polish and English with English subtitles.", "Franz Rogowski, Morr Ndiaye, Laetitia Ky", "Drama", "N/C 15+", "Murder, Strong physical violence, Mild nudity, Mild sexual references, Racism / discrimination / slurs"
11172, 2024-03-03, "Disco Boy", 92, "An undocumented immigrant who signs up to the Foreign Legion becomes increasingly psychologically troubled after a mission to the Niger Delta in this gripping and hallucinatory character study, starring Franz Rogowski.  German star Franz Rogowski (Victoria, Passages) brings an intense and unpredictable energy to the central role in Giacomo Abbruzzese’s trippy and gripping debut. He plays Aleksei, a Belarussian undocumented immigrant to France, who signs up with the Foreign Legion  to gain citizenship. His story intertwines with that of guerrilla fighter Jomo (Morr Ndiaye) and his sister Udoka (Laetitia Ky) on a mission to rescue hostages in the Niger Delta. From that point - involving a stunning night-vision fight scene - Aleksei starts to psychologically unravel as his return to France sparks a hallucinatory and haunting obsession, all set to a pulsing electro-score from Vitalic.      Ibo, French, Polish and English with English subtitles.", "Franz Rogowski, Morr Ndiaye, Laetitia Ky", "Drama", "N/C 15+", "Murder, Strong physical violence, Mild nudity, Mild sexual references, Racism / discrimination / slurs"
11200, 2024-03-02, "Origin", 135, "Biopic about Pulitzer Prize winner Isabel Wilkerson as she works on her hit book Caste: The Origins of Our Discontent, which was sparked by the killing of unarmed Black teenager Trayvon Martin.  Ava DuVernay’s ambitious biopic explores the genesis of Pulitzer Prize-winner Isabel Wilkerson’s best-selling book Caste: The Origins of Our Discontent. After being asked by her editor (Blair Underwood) to write about the killing of unarmed Black teenager Trayvon Martin by neighbourhood watch volunteer George Zimmerman, Isabel (Aunjanue Ellis-Taylor) becomes inspired to make a deeper investigation into the roots of racial injustice. DuVernay’s complex and intellectually rigorous film guides us through Isabel’s investigations and conclusions and is built around the masterful and heartfelt central performance by Ellis-Taylor. Jon Berthal and Emily Yancy offer strong support as Isabel’s husband and ailing mum. ", "Aunjanue Ellis-Taylor, Jon Bernthal, Niecy Nash", "Drama", "N/C 15+", ""
11200, 2024-03-05, "Origin", 135, "Biopic about Pulitzer Prize winner Isabel Wilkerson as she works on her hit book Caste: The Origins of Our Discontent, which was sparked by the killing of unarmed Black teenager Trayvon Martin.  Ava DuVernay’s ambitious biopic explores the genesis of Pulitzer Prize-winner Isabel Wilkerson’s best-selling book Caste: The Origins of Our Discontent. After being asked by her editor (Blair Underwood) to write about the killing of unarmed Black teenager Trayvon Martin by neighbourhood watch volunteer George Zimmerman, Isabel (Aunjanue Ellis-Taylor) becomes inspired to make a deeper investigation into the roots of racial injustice. DuVernay’s complex and intellectually rigorous film guides us through Isabel’s investigations and conclusions and is built around the masterful and heartfelt central performance by Ellis-Taylor. Jon Berthal and Emily Yancy offer strong support as Isabel’s husband and ailing mum. ", "Aunjanue Ellis-Taylor, Jon Bernthal, Niecy Nash", "Drama", "N/C 15+", ""
11210, 2024-03-02, "Sorcery", 100, "After her father is murdered by German settlers, a young Indigenous girl on a remote Chilean island embraces witchcraft in a bid for justice in this atmospheric and otherworldly tale.  It’s 1880 and German settlers have begun to dominate the remote Chilean Chiloé Island. When the father of servant girl Rosa (Valentina Véliz Caileo) is killed by her boss, she is taken in by powerful Huilliche leader Mateo (Daniel Antivilo). In a bid for justice, his influence leads Rosa away from Christianity and towards witchcraft. Based on actual events, Christopher Murray’s tense and atmospheric film carries a folkloric edge as Rosa and her new-found allies harness the natural environment to teach the brutal incomers a lesson. A dark, coming-of-age fable that also celebrates indigenous resistance.  Mapudungun, German and Spanish with English subtitles.", "Valentina Véliz Caileo, Daniel Antivilo, Sebastian Hülk", "Fantasy", "N/C 15+", "Animal death, murder, Pregnancy, Xenophobia, Strong physical violence, Blood/ gore, Mild nudity, Physical abuse, Racism/ discrimination/ slurs"
11210, 2024-03-03, "Sorcery", 100, "After her father is murdered by German settlers, a young Indigenous girl on a remote Chilean island embraces witchcraft in a bid for justice in this atmospheric and otherworldly tale.  It’s 1880 and German settlers have begun to dominate the remote Chilean Chiloé Island. When the father of servant girl Rosa (Valentina Véliz Caileo) is killed by her boss, she is taken in by powerful Huilliche leader Mateo (Daniel Antivilo). In a bid for justice, his influence leads Rosa away from Christianity and towards witchcraft. Based on actual events, Christopher Murray’s tense and atmospheric film carries a folkloric edge as Rosa and her new-found allies harness the natural environment to teach the brutal incomers a lesson. A dark, coming-of-age fable that also celebrates indigenous resistance.  Mapudungun, German and Spanish with English subtitles.", "Valentina Véliz Caileo, Daniel Antivilo, Sebastian Hülk", "Fantasy", "N/C 15+", "Animal death, murder, Pregnancy, Xenophobia, Strong physical violence, Blood/ gore, Mild nudity, Physical abuse, Racism/ discrimination/ slurs"
11212, 2024-03-02, "Tell Me A Riddle + The Stronger", 120, "A cancer diagnosis prompts a elderly couple to go on a road trip in Lee Grant’s heartfelt theatrical directorial debut. Her short adapts August Strindberg’s play about a wife and her husband’s mistress.  Restored in 2022 by the Academy Film Archive and The Film Foundation, Lee Grant’s touching theatrical debut considers the challenges of old age and was one of the first US feature films to be produced, written and directed by women. When David (Melvyn Douglas) discovers his wife Eva (Lila Kedrova) has terminal cancer, he elects to keep it a secret and the two of them embark on a road trip to see their children and grandchildren. Showing with her short film adaptation of August Strindberg’s The Stronger, which charts an encounter between a wife and her husband’s mistress.  English and Russian with English subtitles.", "Melvyn Douglas, Lila Kedrova, Brooke Adams", "Drama", "PG", ""
11222, 2024-03-02, "Tummy Monster", 85, "Rising Scottish star Lorn Macdonald (Beats) stars as a self-centred tattoo artist whose fixation on getting a selfie with a famous client embroils him in a bizarre and dangerous game.  Glasgow-based director Ciaran Lyons makes a virtue of his low budget in this blackly comic psychological thriller. Rising star Lorn Macdonald (Beats, The Strange Case of Dr Jekyll and Mr Hyde) stars as Tales, a brilliant but egotistical tattoo artist whose personal life is a hot mess. When an international popstar (Orlando Norman) and his minder (Michael Akinsilure) turn up on his doorstep late at night, it seems like a perfect opportunity to prove to everyone what a Big Deal he is. But when a selfie request doesn’t go as planned, he’s dragged into playing a bizarre game that could ruin his life for good in a directorial debut that bristles with dangerous energy.", "Lorn Macdonald, Orlando Norman, Michael Akinsilure", "Thriller", "N/C 15+", "Psychological Horror, Drug Use, Strong Language"
11222, 2024-03-03, "Tummy Monster", 85, "Rising Scottish star Lorn Macdonald (Beats) stars as a self-centred tattoo artist whose fixation on getting a selfie with a famous client embroils him in a bizarre and dangerous game.  Glasgow-based director Ciaran Lyons makes a virtue of his low budget in this blackly comic psychological thriller. Rising star Lorn Macdonald (Beats, The Strange Case of Dr Jekyll and Mr Hyde) stars as Tales, a brilliant but egotistical tattoo artist whose personal life is a hot mess. When an international popstar (Orlando Norman) and his minder (Michael Akinsilure) turn up on his doorstep late at night, it seems like a perfect opportunity to prove to everyone what a Big Deal he is. But when a selfie request doesn’t go as planned, he’s dragged into playing a bizarre game that could ruin his life for good in a directorial debut that bristles with dangerous energy.", "Lorn Macdonald, Orlando Norman, Michael Akinsilure", "Thriller", "N/C 15+", "Psychological Horror, Drug Use, Strong Language"
11223, 2024-03-02, "Yannick", 67, "Deerskin director Quentin Dupieux is back with another speedy slice of absurdity set in a theatre where an audience member takes the place and demands to be made the playwright.  French director Quentin Dupieux has become known for his bitesized slices of absurdist comedy, including Deerskin, Mandibles and Smoking Causes Coughing. This time, the DJ-turned-filmmaker has his sights on the theatre as car park attendant Yannick (Raphaël Quenard) reaches the end of his tether on a precious night off. Fed up with a performance of The Cuckold (being acted by Pio Marmaï, Blanche Gardin and Sébastien Chassagne), he takes matters  not to mention a gun —  into his own hands. Deciding to write his own replacement play, the stage is set for satire and silliness served up in Dupieux’s inimitable pacey style.  French with English subtitles", "Raphaël Quenard, Pio Marmaï, Blanche Gardin", "Comedy", "N/C 15+", "Violence, Strong Language"
11223, 2024-03-03, "Yannick", 67, "Deerskin director Quentin Dupieux is back with another speedy slice of absurdity set in a theatre where an audience member takes the place and demands to be made the playwright.  French director Quentin Dupieux has become known for his bitesized slices of absurdist comedy, including Deerskin, Mandibles and Smoking Causes Coughing. This time, the DJ-turned-filmmaker has his sights on the theatre as car park attendant Yannick (Raphaël Quenard) reaches the end of his tether on a precious night off. Fed up with a performance of The Cuckold (being acted by Pio Marmaï, Blanche Gardin and Sébastien Chassagne), he takes matters  not to mention a gun —  into his own hands. Deciding to write his own replacement play, the stage is set for satire and silliness served up in Dupieux’s inimitable pacey style.  French with English subtitles", "Raphaël Quenard, Pio Marmaï, Blanche Gardin", "Comedy", "N/C 15+", "Violence, Strong Language"
11232, 2024-03-02, "Wuthering Heights", 104, "PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.  Faithful retelling of Emily Brontë’s gothic romance featuring Laurence Olivier on top form as the brooding Heathcliff, whose romance for the fickle Cathy (Merle Oberon) threatens to overwhelm them both.  The wild and restless spirit and melodrama of Emily Brontë’s gothic romance is brought to the big screen in William Wyler’s celebrated version of the 19th century classic. A stranger’s visit to the gloomy mansion of Wuthering Heights prompts a telling of the doomed romance between Merle Oberon’s haughty Cathy and the darkly brooding Heathcliff (Laurence Olivier), whose passion for her threatens to overwhelm them both. Featuring strong support from David Niven and Hugh Williams, it was nominated for eight Oscars, including Best Picture and Best Actor, but Gregg Toland’s exquisite black and white cinematography netted its only statuette.  Thanks to Park Circus", "Merle Oberon, Laurence Olivier, David Niven", "Drama", "U", ""
11235, 2024-03-02, "Take 2: The Curse of the Were Rabbit", 85, "In this funny and fast-paced Aardman family favourite, the cheese-loving inventor and his faithful sidekick’s inventive plan to stop veggie thieves creates a monster problem.  Nick Park and Steve Box draw on influences, from Universal monster movies to Ealing comedies, to give Wallace and Gromit their Oscar-winning big screen debut. The duo’s pest control firm hits trouble when Wallace’s invention, which stops veggie thieves in their tracks by brainwashing them, malfunctions. Soon it’s Wallace who has the monstrous craving for carrots and Gromit who has his paws full. This pacy adventure has humour to suit all ages and features an A-list voice cast, including Helena Bonham Carter and Ralph Fiennes, plus the late, great Peter Sallis as Wallace.", "Peter Sallis, Helena Bonham Carter, Ralph Fiennes", "Animation", "U", ""
11240, 2024-03-02, "Flaming Star", 101, "Don Siegel (Dirty Harry) directs Dolores del Rio and Elvis Presley in this highly entertaining Western curio about a half-Native American cattle rancher torn between communities when his Kiowan relatives return to reclaim their stolen land.  In this quirky but highly entertaining Western curio directed by Don Siegel (Dirty Harry, Escape from Alcatraz), Elvis Presley (!) stars as Pacer Burton a half-Native American Texan cattle rancher who finds his loyalties split when his Kiowan relatives return to reclaim their stolen land. Del Río is cast across ethnicities as Pacer’s mother, an Indigenous woman who has married outside her community. Like many period Westerns Flaming Star has problematic elements, but nevertheless there’s much to enjoy here, from a bracingly bleak exploration of generational colonial violence to a surprisingly effective performance from Presley. In one of her later Hollywood appearances, Del Río brings gravitas and class to proceedings.  With thanks to Park Circus", "Elvis Presley, Barbara Eden, Dolores Del Rio", "Drama", "PG", ""
11242, 2024-03-02, "La Otra + Intro from Invisible Women", 98, "In this delicious noir, del Río delivers double the star power in an alluring dual role playing twins - one a vivacious young widow and the other a downtrodden manicurist who develops a dangerous jealousy of her successful sister.  Downtrodden manicurist Maria is struggling with mounting debts and sleazy customers, while vivacious young widow Magdalena lives in casual luxury after the death of her millionaire husband. As the gulf between the sisters' lives grows, Maria’s jealousy begins to spiral dangerously out of control. After a successful spell in Hollywood, del Río had grown weary of playing exotic bombshells and returned to Mexico to seek out meatier parts. La Otra brings del Río together with Roberto Gavaldón, a key Mexican Golden Age filmmaker famed for his larger-than-life melodramas.   Spanish with English Subtitles.  This screening will be introduced by Invisible Women. With thanks to Filmoteca UNAM and the estate of Roberto Gavaldón Arbide", "Dolores del Río, Victor Junco, Agustin Irusta", null, "N/C 5+", ""
10933, 2024-03-03, "Solo", 101, "An intimate character study set against Montreal’s vibrant drag scene as Simon, whose drag alter-ego is a hit, finds himself questioning his relationship with a fellow drag star after his mum arrives back in his life.  Simon (Théodore Pelleri) has a successful day job as a make-up artist, while his drag queen alter-ego Glory Gore is on the rise in Montreal’s vibrant Queer scene. When he embarks on an intense relationship with fellow drag star Olivier (Félix Maritaud), it seems to be the passion that he’s looking for. However, things begin to change when his estranged mum Clare (Anne-Marie Cadieux) - a famous opera singer - unexpectedly shows up. Simon’s relationship with his mum calls him to question the nature of his bond with Olivier. Featuring fabulous drag performances on stage, Sophie Dupuis also paints an intimate character study off it.   French with English subtitles.", "Théodore Pellerin, Félix Maritaud, Alice Moreault", "Drama", "N/C 15+", "Emotional Abuse, Drug Use, Strong Language"
