11173, 2024-02-29, "Do Not Expect Too Much From the End of the World", 163, "Radu Jude’s latest satire takes us on an absurdist road trip through Romania past and present as a worn-out production assistant tries to make a workplace safety video come together.  Official Entry: Romania - Best International Feature - 96th Academy Awards®  Radu Jude’s Locarno award-winning follow up to Bad Luck Banging or Loony Porn takes us on an absurdist road trip through Romania past and present. We hit the streets with over-worked and worn-out Angela (Ilinca Manolache). As she tries to organise a workplace safety video and chauffeur round her Austrian boss (Nina Hoss), her story is intercut with snippets from Ceaucescu-era film Angela Moves On, about a female taxi driver (Dorina Lazar). Jude skewers everything from toxic masculinity to the gig economy, drawing parallels between then and now, while craftily bringing the two Angelas together. German director Uwe Boll also makes a delightfully anarchic appearance as himself.  Romanian with English subtitles", "Nina Hoss, Uwe Boll, Serban Pavlu", "Comedy", "18", "Strong sexual references"
11173, 2024-03-01, "Do Not Expect Too Much From the End of the World", 163, "Radu Jude’s latest satire takes us on an absurdist road trip through Romania past and present as a worn-out production assistant tries to make a workplace safety video come together.  Official Entry: Romania - Best International Feature - 96th Academy Awards®  Radu Jude’s Locarno award-winning follow up to Bad Luck Banging or Loony Porn takes us on an absurdist road trip through Romania past and present. We hit the streets with over-worked and worn-out Angela (Ilinca Manolache). As she tries to organise a workplace safety video and chauffeur round her Austrian boss (Nina Hoss), her story is intercut with snippets from Ceaucescu-era film Angela Moves On, about a female taxi driver (Dorina Lazar). Jude skewers everything from toxic masculinity to the gig economy, drawing parallels between then and now, while craftily bringing the two Angelas together. German director Uwe Boll also makes a delightfully anarchic appearance as himself.  Romanian with English subtitles", "Nina Hoss, Uwe Boll, Serban Pavlu", "Comedy", "18", "Strong sexual references"
11179, 2024-02-29, "Frank Capra: Mr America", 92, "This rewarding profile of the It’s A Wonderful Life director uses previously unseen archive material to explore his rise from childhood poverty in Sicily to become one of the world’s most celebrated filmmakers.  This rewarding and informative profile takes a deep dive into the life of the triple Oscar winner. Frank Capra’s films, including Mr. Smith Goes to Washington, It’s A Wonderful Life and It Happened One Night, made the filmmaker so famous it even gave the world a new word, Capraesque, to describe the triumphs of an underdog. Matthew Wells’s documentary charts the director’s own unlikely rise from Sicilian poverty to the upper echelons of Hollywood. Featuring contributions and insight from the likes of Sideways director Alexander Payne, Wells also doesn’t shy away from Capra’s contradictions and sometimes problematic personal politics.", "Frank Capra, Tom Rothman", "Documentary", "N/C 15+", ""
11179, 2024-03-01, "Frank Capra: Mr America", 92, "This rewarding profile of the It’s A Wonderful Life director uses previously unseen archive material to explore his rise from childhood poverty in Sicily to become one of the world’s most celebrated filmmakers.  This rewarding and informative profile takes a deep dive into the life of the triple Oscar winner. Frank Capra’s films, including Mr. Smith Goes to Washington, It’s A Wonderful Life and It Happened One Night, made the filmmaker so famous it even gave the world a new word, Capraesque, to describe the triumphs of an underdog. Matthew Wells’s documentary charts the director’s own unlikely rise from Sicilian poverty to the upper echelons of Hollywood. Featuring contributions and insight from the likes of Sideways director Alexander Payne, Wells also doesn’t shy away from Capra’s contradictions and sometimes problematic personal politics.", "Frank Capra, Tom Rothman", "Documentary", "N/C 15+", ""
11184, 2024-02-29, "I Don't Know Who You Are", 103, "A musician finds himself in a race against time to raise cash for HIV preventative treatment after a sexual assault. An intimate drama rooted in the director’s own experience.  Newcomer Mark Clennon stars as Canadian musician Benjamin whose life is tilted on its axis after he is sexually assaulted on the way home from a party. Worried about the HIV status of his attacker, he is shocked to discover that his health insurance won’t cover the preventative treatment he needs which must be started within a 72-hour window. With the clock ticking, Benjamin tries to raise the $900 prescription fee as writer/director MH Murray explores the inequalities of both the system and Benjamin’s social circle. An intimate drama rooted in the writer/director’s own experience.    ", "Mark Clennon, Anthony Diaz, Nat Patricia Manuel", "Drama", "N/C 15+", "Violence, Murder, Sexual Assault, Strong Language, Blood, Strong sexual references"
11184, 2024-03-01, "I Don't Know Who You Are", 103, "A musician finds himself in a race against time to raise cash for HIV preventative treatment after a sexual assault. An intimate drama rooted in the director’s own experience.  Newcomer Mark Clennon stars as Canadian musician Benjamin whose life is tilted on its axis after he is sexually assaulted on the way home from a party. Worried about the HIV status of his attacker, he is shocked to discover that his health insurance won’t cover the preventative treatment he needs which must be started within a 72-hour window. With the clock ticking, Benjamin tries to raise the $900 prescription fee as writer/director MH Murray explores the inequalities of both the system and Benjamin’s social circle. An intimate drama rooted in the writer/director’s own experience.    ", "Mark Clennon, Anthony Diaz, Nat Patricia Manuel", "Drama", "N/C 15+", "Violence, Murder, Sexual Assault, Strong Language, Blood, Strong sexual references"
11187, 2024-02-29, "Io Capitano", 121, "Two cousins leave Senegal to pursue their dream of a new life in Europe in Matteo Garrone’s vibrant and powerful drama about the hopefulness, resilience and brutality of the migrant experience.  Official Entry: Italy - Best International Feature - 96th Academy Awards®  Cousins Seydou (Seydou Sarr) and Moussa (Moustapha Fall) are full of hope about a new life in Europe when they set off from Senegal. However, it’s not long before their journey becomes fraught with difficulty as they face extortion, harsh conditions and even the threat of torture. Matteo Garrone’s vibrant and powerful drama is based on testimony from those who have made the journey and rests on the sweetly innocent performances of Sarr and Fall. Garrone underlines the brutality that often lies in wait for migrants while shining a light on the resilience and humanity that can be encountered on the way.       Wolof and French with English subtitles.", "Seydou Sarr, Moustapha Fall, Issaka Sawadogo", "Drama", "N/C 15+", ""
11187, 2024-03-01, "Io Capitano", 121, "Two cousins leave Senegal to pursue their dream of a new life in Europe in Matteo Garrone’s vibrant and powerful drama about the hopefulness, resilience and brutality of the migrant experience.  Official Entry: Italy - Best International Feature - 96th Academy Awards®  Cousins Seydou (Seydou Sarr) and Moussa (Moustapha Fall) are full of hope about a new life in Europe when they set off from Senegal. However, it’s not long before their journey becomes fraught with difficulty as they face extortion, harsh conditions and even the threat of torture. Matteo Garrone’s vibrant and powerful drama is based on testimony from those who have made the journey and rests on the sweetly innocent performances of Sarr and Fall. Garrone underlines the brutality that often lies in wait for migrants while shining a light on the resilience and humanity that can be encountered on the way.       Wolof and French with English subtitles.", "Seydou Sarr, Moustapha Fall, Issaka Sawadogo", "Drama", "N/C 15+", ""
11191, 2024-02-29, "Love Lies Bleeding", 104, "Love and violence come together in an explosive cocktail in this thriller starring Kristen Stewart as a gym manager who falls for a bodybuilder, with dangerous implications for them both.  When gym manager Lou (Kristen Stewart) meets bodybuilder Jackie (Katy O’Brian) as she heads through town for Las Vegas, the pair embark on a romance. But their burgeoning feelings for one another come under threat thanks to the criminal activities of Lou’s family. Rose Glass achieved critical acclaim with her chilling British-set debut Saint Maud. Here she proves equally adept at embracing small-town Americana to craft a sharply stylish thriller that packs plenty of emotional heat. Beyond the gripping central performances, Ed Harris offers menacing support as Lou’s ne’er do well father, who has attracted the attention of the FBI. ", "Anna Baryshnikov, Kristen Stewart, Dave Franco", "Action", "N/C 18+", "Strong Physical Violence, Strong Sexual References, Mild Nudity, Murder, Blood/Gore"
11194, 2024-02-29, "Mandoob", 110, "Saudi Arabia’s gig economy is put in the spotlight in this darkly comedic tale of an overworked delivery driver whose choices lead to trouble as he tries to become a bootlegger.  The night-time streets of bustling Riyadh in Saudi Arabia take centre-stage in Ali Kalthami’s darkly farcical tale of call centre worker Fahad (Mohammed Aldokhei), whose life is built on bad choices. Moonlighting as a courier, in a bid to help pay for his elderly dad’s medical treatment, the overstretched Fahad loses his day job. Increasingly desperate, he decides to steal a batch of counterfeit whisky in order to make a quick buck but soon finds his life spiralling even further out of control. Kalthami serves up a comedic character study with a satirical edge that skewers the gig economy.          Arabic with English subtitles.", "Mohamad Aldokhei, Mohammed Altawyan, Hajar Alshammari ", "Thriller", "N/C 15+", "Strong Language, Mild physical violence"
