"Baby Assassins 2 Babies","2024/03/07 15:30",101,"Cineworld Screen 1","The kick-ass assassins with slacker tendencies are back in a fast-paced and funny sequel that sees them trying to pay off a gym debt while avoiding losing their spot in the Assassins’ Guild to a pair of rivals.

Odd couple Chisato (Akari Takaishi) and Mahiro (Saori Izawa) are back as a pair of kick-ass assassins with slacker tendencies in Yugo Sakamoto's fast-paced and funny sequel. When Chisato discovers their gym payment is four-years overdue, the duo are forced to ditch their desserts in a bid to settle their debts. But it’s not so easy after they find themselves suspended from the Assassins’ Guild and with a pair of brothers keen to take their place. Mixing coming-of-age comedy with action, you don’t need to have seen the original to fall in love with this killer double-act this time around.

Japanese with English subtitles.","Akari Takaishi, Saori Izawa, Oto Abe","Action","Comedy, Crime","Yûgo Sakamoto
","N/C 18+","Murder, Strong Language, Strong physical violence, Blood","","https://www.youtube.com/watch?v=x4OuasPBqgE?si=NEB2vnVE7yxrWJAO","https://indy-systems.imgix.net/vs2wxt3tmyuvwk5a6q05g26szqk6"
"Banel & Adama","2024/03/09 18:15",87,"GFT 2","A young married couple who are trying to break free from tradition find themselves under increasing pressure as drought threatens their village in this delicate fable from Senegal.

Official Entry: Senegal - Best International Feature - 96th Academy Awards®

In Senegal's submission for the 2024 Oscars, young married couple Banel (Khady Mane) and Adama (Mamadou Diallo) have a fiercely burning love for one another that comes before everything else in Ramata-Toulaye Sy’s delicate and moving fable. Banel’s defiance in the face of cultural expectations to start a family and Adama’s refusal to take on the role of village tribal chief set the pair at odds with their community. As a drought begins to bite, so does the pressure on the couple. Shot against the stunning backdrop of the Sahel desert region with lyrical and colourful grace, Sy’s drama draws you in with a slow-burn intensity and a mythic sweep.

Pulaar with English subtitles.","Khady Mane, Mamadou Diallo, Binta Racine Sy","Drama","","Ramata-Toulaye Sy
","N/C 15+","Animal Death","","https://www.youtube.com/watch?v=0BZYsTvV9VE","https://indy-systems.imgix.net/14gn504nljqlbuu4kr8duausqeuy"
"Banel & Adama","2024/03/10 15:30",87,"GFT 2","A young married couple who are trying to break free from tradition find themselves under increasing pressure as drought threatens their village in this delicate fable from Senegal.

Official Entry: Senegal - Best International Feature - 96th Academy Awards®

In Senegal's submission for the 2024 Oscars, young married couple Banel (Khady Mane) and Adama (Mamadou Diallo) have a fiercely burning love for one another that comes before everything else in Ramata-Toulaye Sy’s delicate and moving fable. Banel’s defiance in the face of cultural expectations to start a family and Adama’s refusal to take on the role of village tribal chief set the pair at odds with their community. As a drought begins to bite, so does the pressure on the couple. Shot against the stunning backdrop of the Sahel desert region with lyrical and colourful grace, Sy’s drama draws you in with a slow-burn intensity and a mythic sweep.

Pulaar with English subtitles.","Khady Mane, Mamadou Diallo, Binta Racine Sy","Drama","","Ramata-Toulaye Sy
","N/C 15+","Animal Death","","https://www.youtube.com/watch?v=0BZYsTvV9VE","https://indy-systems.imgix.net/14gn504nljqlbuu4kr8duausqeuy"
"Bend it Like Beckham","2024/03/01 18:15",112,"CCA Cinema","Revisit, or meet for the first time, this iconic romantic-comedy. Starring Parminder Nagra and a teenage Keira Knightley as Jess and Jules, who become fast-friends through a shared love of the ‘beautiful game’!

Jess is desperate to play football, but her conservative Indian Punjabi Sikh parents won’t allow it. When she’s kicking the ball around for fun, her skills are noticed by Jules, who convinces her to join her semi-pro team, the Hounslow Harriers. As Jess manages to find a way to play whilst hiding her forbidden secret from her family, she begins to develop romantic feelings for the team’s coach, Joe. At the time of its release, Gurinder Chadha’s early 2000s classic crossed cultural barriers with ease and was arguably, ahead of its time. Twenty-two years later one must ask, is the real love story between Jess and Jules?
","Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers","Comedy","Romance, Coming-of-Age","Gurinder Chadha","12","Injury Detail, Strong Language, Mild physical violence, Mild sexual references, Racism / discrimination / slurs","love is sweet oh!","https://www.youtube.com/watch?v=/-DNwS_CwEAw?si=wUD9aDZsO_RMOe1r","https://indy-systems.imgix.net/s84ka8baaio5slm7rqvgfxxf1ky3"
"Bill Douglas - My Best Friend","2024/03/08 18:15",77,"GFT 2","An elegiac tribute to the hugely influential Scots filmmaker featuring contributions from the life-long friend who knew him best, Peter Jewell, as well as directors Lynne Ramsay and Lenny Abrahamson.

Director Bill Douglas has remained hugely influential despite a short career of just four films - including autobiographical trilogy My Childhood, My Ain Folk and My Way Home, about growing up in an impoverished family in the mining village of Newcraighall, near Edinburgh. Jack Archer’s elegaic and gently moving consideration of his work features contributions from the man closest to him, his best friend Peter Jewell, who talks about the life they shared for decades and Douglas’s passion for film. We Need To Talk About Kevin director Lynne Ramsay and filmmaker Lenny Abrahamson (Room) also offer insights about his enduring legacy.","Peter Jewel, Lynne Ramsay, Lenny Abrahamson,","Documentary","","Jack Archer
","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/wlcy559gnigrlkihqyhl7g64cjdm"
"Bill Douglas - My Best Friend","2024/03/09 13:45",77,"GFT 2","An elegiac tribute to the hugely influential Scots filmmaker featuring contributions from the life-long friend who knew him best, Peter Jewell, as well as directors Lynne Ramsay and Lenny Abrahamson.

Director Bill Douglas has remained hugely influential despite a short career of just four films - including autobiographical trilogy My Childhood, My Ain Folk and My Way Home, about growing up in an impoverished family in the mining village of Newcraighall, near Edinburgh. Jack Archer’s elegaic and gently moving consideration of his work features contributions from the man closest to him, his best friend Peter Jewell, who talks about the life they shared for decades and Douglas’s passion for film. We Need To Talk About Kevin director Lynne Ramsay and filmmaker Lenny Abrahamson (Room) also offer insights about his enduring legacy.","Peter Jewel, Lynne Ramsay, Lenny Abrahamson,","Documentary","","Jack Archer
","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/wlcy559gnigrlkihqyhl7g64cjdm"
"Billy Connolly: Big Banana Feet","2024/03/03 13:15",77,"GFT 1","Rarely seen since its initial release, this documentary follows Billy Connolly on his 1975 Irish tour. A comedy charmer, which can now be seen in all its glory thanks to a BFI restoration.

The Big Yin - complete with banana boots - was hitting the big-time when this film followed him on his 1975 Irish tour, which culminated in his famous engagement at the ABC Cinema in Belfast during the Troubles. Rarely screened since its initial release, the film can now be seen in its full glory. In addition to showcasing Connolly’s comic and musical talent, it also captures his natural charm off-stage. This loving restoration by the BFI was undertaken in collaboration with Murray Grigor, Douglas Weir, National Library of Scotland, University of California and R3Store Studios, using the only 16mm print known to exist.","Billy Connolly","Documentary","Comedy","Murray Grigor and Patrick Higson
","N/C 18+","Strong Language","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/pjt56fyb77fiy84exe1avwr8bn7s"
"Billy Connolly: Big Banana Feet","2024/03/04 18:30",77,"GFT 1","Rarely seen since its initial release, this documentary follows Billy Connolly on his 1975 Irish tour. A comedy charmer, which can now be seen in all its glory thanks to a BFI restoration.

The Big Yin - complete with banana boots - was hitting the big-time when this film followed him on his 1975 Irish tour, which culminated in his famous engagement at the ABC Cinema in Belfast during the Troubles. Rarely screened since its initial release, the film can now be seen in its full glory. In addition to showcasing Connolly’s comic and musical talent, it also captures his natural charm off-stage. This loving restoration by the BFI was undertaken in collaboration with Murray Grigor, Douglas Weir, National Library of Scotland, University of California and R3Store Studios, using the only 16mm print known to exist.","Billy Connolly","Documentary","Comedy","Murray Grigor and Patrick Higson
","N/C 18+","Strong Language","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/pjt56fyb77fiy84exe1avwr8bn7s"
"Black Dog","2024/02/29 20:40",96,"GFT 1","An extrovert foster kid desperate to see his sister ends up on an unexpected road trip with an introverted fellow teen in actor-turned-director George Jacques’s funny and touching tale of friendship and moving on.

Jamie Flatters (Avatar: The Way of Water) and newcomer Keenan Munn-Francis prove great company in this funny and touching coming of age story from actor-turned-director George Jaques’s (A Town Called Malice). Extroverted loose cannon foster kid Nathan (Flatters) is the polar opposite of the buttoned up Sam (Munn-Francis) but when they unexpectedly end up leaving London on a road trip to Scotland together a journey of connection is about to begin. Jaques (who co-wrote the script with Flatters) creates a road trip to remember, blending high energy comedy with moments of poignant connection as the pair learn about one another and themselves.","Jamie Flatters, Keenan Munn-Francis, Nicholas Pinnock","Drama","","George Jaques
","N/C 15+","Strong Language, Mild physical violence, Blood, Suicide","","https://www.youtube.com/watch?v=mb1np6f7_t0?si=y8LGYsGLB2K0fLXQ","https://indy-systems.imgix.net/rdvpvkzszvea6ue148fl573264oi"
"Black Dog","2024/03/01 15:40",96,"GFT 1","An extrovert foster kid desperate to see his sister ends up on an unexpected road trip with an introverted fellow teen in actor-turned-director George Jacques’s funny and touching tale of friendship and moving on.

Jamie Flatters (Avatar: The Way of Water) and newcomer Keenan Munn-Francis prove great company in this funny and touching coming of age story from actor-turned-director George Jaques’s (A Town Called Malice). Extroverted loose cannon foster kid Nathan (Flatters) is the polar opposite of the buttoned up Sam (Munn-Francis) but when they unexpectedly end up leaving London on a road trip to Scotland together a journey of connection is about to begin. Jaques (who co-wrote the script with Flatters) creates a road trip to remember, blending high energy comedy with moments of poignant connection as the pair learn about one another and themselves.","Jamie Flatters, Keenan Munn-Francis, Nicholas Pinnock","Drama","","George Jaques
","N/C 15+","Strong Language, Mild physical violence, Blood, Suicide","","https://www.youtube.com/watch?v=mb1np6f7_t0?si=y8LGYsGLB2K0fLXQ","https://indy-systems.imgix.net/rdvpvkzszvea6ue148fl573264oi"
