"Float - Series 2","2024/03/04 16:15",65,"GFT 2","Black Camel Pictures' award-winning drama from writer Stef Smith returns for a second series. Jade and Collette reunite 18 months after the first series as the show moves beyond the world of the swimming pool.

Black Camel Pictures' queer short-form drama from writer Stef Smith, revolving around the intense relationship that develops between lifeguards Jade (Hannah Jarrett-Scott) and Collette (Jessica Hardwick), was a BBC iPlayer hit in 2021, where it is due to return in the spring for BBC Scotland. It was also a critical success that won awards including a Royal Television Society Scotland writing prize. The second instalment sees the pair reunited 18 months after the first series. The action moves beyond the swimming pool as Jade and Collette navigate life and love within the confines of a small Scottish town.","Jessica Hardwick, Hannah Jarrett-Scott, Gail Watson","Drama","","Arabella Page Croft","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/02qyprtkvgxtg3po4tlpemtkv8di"
"Flying Down to Rio + Intro from Invisible Women","2024/02/29 15:40",89,"GFT 1","
Dolores del Río plays a Brazilian aristocratic beauty caught in a love triangle in this delightfully frothy Golden Age Hollywood musical, co-starring Fred Astaire and Ginger Rogers.

In this delightfully frothy Golden Age Hollywood confection, Dolores del Río stars as a Brazilian aristocratic beauty caught in a love triangle between her dubious fiance (Raul Roulien) and a dashing US band leader (Gene Raymond). Ostensibly set in Rio de Janeiro, the film presents an idealised vision of a pan-Latin paradise, but despite the stereotyping del Río’s performance sizzles with vivacity, charm and a dash of pre-code sauce. Flying Down to Rio also has the distinction of debuting the first on-screen partnership between Fred Astaire and Ginger Rogers, and an extended central dance sequence is a highlight - as is the gloriously preposterous finale, an aerial ballet which unfolds on the wings of a plane.

English and Portuguese with English subtitles.

This screening will be introduced by Invisible Women.
With thanks to the BBC","Dolores del Rio, Gene Raymond, Raul Roulien","Comedy","Musical, Romance","Thornton Freeland","U","","Wild Flower, Flaming Star: The Films of Dolores Del Rio","https://www.youtube.com/watch?v=KAd0sZnE3Yw?si=E8VI-yb_pagE9_Gg","https://indy-systems.imgix.net/39dex2y0q0kcf0tqqrjg05l1fdk9"
"Four Little Adults","2024/03/09 20:15",122,"Cineworld Screen 1","Sensitive drama exploring the ups and downs of a polyamorous relationship that develops after a woman discovers her minister husband has been having an affair for more than a year.

When politician Juulia (Alma Pöysti, Tove, Fallen Leaves) finds out that her minister husband Matias (Eero Milonof, Border) has been having an 18-month affair, instead of angrily demanding a divorce, she suggests they give polyamory a go using a book as a manual. Soon Matias’ lover Enni (Oona Airola) is part of their lives and things become more emotionally complex when Juulia takes on a non-binary partner, Miska (Pietu Wikström). Finnish writer-director Selma Vilhunen sensitively explores issues including gender, prejudice and bucking the trend of perceived ‘normality’ without sensationalising the subject. Her elegant drama is a humanistic and compassionate treat.                                                                           

Finnish with English subtitles.","Alma Pöysti, Vilhelm Blomgren, Eero Milonoff","Drama","","Selma Vilhunen","N/C 15+","","","https://www.youtube.com/watch?v=n4h5-ObkZUg?si=OaJ5_H2j8ZJpOT4t","https://indy-systems.imgix.net/3hhxv3tdq3baicqchapl4mmgfmec"
"Four Little Adults","2024/03/10 15:15",122,"Cineworld Screen 1","Sensitive drama exploring the ups and downs of a polyamorous relationship that develops after a woman discovers her minister husband has been having an affair for more than a year.

When politician Juulia (Alma Pöysti, Tove, Fallen Leaves) finds out that her minister husband Matias (Eero Milonof, Border) has been having an 18-month affair, instead of angrily demanding a divorce, she suggests they give polyamory a go using a book as a manual. Soon Matias’ lover Enni (Oona Airola) is part of their lives and things become more emotionally complex when Juulia takes on a non-binary partner, Miska (Pietu Wikström). Finnish writer-director Selma Vilhunen sensitively explores issues including gender, prejudice and bucking the trend of perceived ‘normality’ without sensationalising the subject. Her elegant drama is a humanistic and compassionate treat.                                                                           

Finnish with English subtitles.","Alma Pöysti, Vilhelm Blomgren, Eero Milonoff","Drama","","Selma Vilhunen","N/C 15+","","","https://www.youtube.com/watch?v=n4h5-ObkZUg?si=OaJ5_H2j8ZJpOT4t","https://indy-systems.imgix.net/3hhxv3tdq3baicqchapl4mmgfmec"
"Foxy Brown","2024/03/06 10:30",92,"GFT 1","Fiercely entertaining and hugely influential blaxploitation crime classic that sees Pam Grier on knock ’em dead form as a heroine out for revenge after her undercover cop boyfriend is murderer

The poster warned """"Don’t mess roun’ with Foxy Brown, she’s the meanest chick in town!” and they weren’t kidding. Pam Grier was on smoking hot form when she took on the lead role in this blaxploitation classic that went on to influence a battalion of female action heroes and the likes of Quentin Tarantino. Grier’s Foxy is out for vengeance after her boyfriend is murdered, taking an escort agency job to bring the mob down from within. Jack Hill’s fiercely entertaining film - made as a follow-up with Grier after their surprise hit Coffy - is a stylish and subversive kick-ass treat.","Pam Grier, Antonio Fargas, Peter Brown","Action","Crime, Thriller","Jack Hill","18","Sexual Assault, Strong physical violence, Strong sexual references","Our Story So Far","https://www.youtube.com/watch?v=sMJCorShtSc?si=WefYcMKD2TDcJtvB","https://indy-systems.imgix.net/71r8k1hf4pvcuk20arxwkk6y1ipb"
"Frank Capra: Mr America","2024/02/29 18:15",92,"GFT 2","This rewarding profile of the It’s A Wonderful Life director uses previously unseen archive material to explore his rise from childhood poverty in Sicily to become one of the world’s most celebrated filmmakers.

This rewarding and informative profile takes a deep dive into the life of the triple Oscar winner. Frank Capra’s films, including Mr. Smith Goes to Washington, It’s A Wonderful Life and It Happened One Night, made the filmmaker so famous it even gave the world a new word, Capraesque, to describe the triumphs of an underdog. Matthew Wells’s documentary charts the director’s own unlikely rise from Sicilian poverty to the upper echelons of Hollywood. Featuring contributions and insight from the likes of Sideways director Alexander Payne, Wells also doesn’t shy away from Capra’s contradictions and sometimes problematic personal politics.","Frank Capra, Tom Rothman","Documentary","","Matthew Wells ","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/xiz9ktn5ofwbxxcfuj45cl4y94pf"
"Frank Capra: Mr America","2024/03/01 13:30",92,"GFT 2","This rewarding profile of the It’s A Wonderful Life director uses previously unseen archive material to explore his rise from childhood poverty in Sicily to become one of the world’s most celebrated filmmakers.

This rewarding and informative profile takes a deep dive into the life of the triple Oscar winner. Frank Capra’s films, including Mr. Smith Goes to Washington, It’s A Wonderful Life and It Happened One Night, made the filmmaker so famous it even gave the world a new word, Capraesque, to describe the triumphs of an underdog. Matthew Wells’s documentary charts the director’s own unlikely rise from Sicilian poverty to the upper echelons of Hollywood. Featuring contributions and insight from the likes of Sideways director Alexander Payne, Wells also doesn’t shy away from Capra’s contradictions and sometimes problematic personal politics.","Frank Capra, Tom Rothman","Documentary","","Matthew Wells ","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/xiz9ktn5ofwbxxcfuj45cl4y94pf"
"FrightFest Weekend Pass","2024/03/08 12:30",30,"GFT 1","Expect scary thrills and gory spills as the team at Frightfest descends on Glasgow Film Festival yet again from March 7 - 9, delivering their own unique brand of off-kilter genre cinema at its finest.

Weekend passes are priced at £83 for all 11 films screening as part of FrightFest on Friday 8 and Saturday 9 March. No further discounts apply.

Films include:
The Deep Dark
The Invisible Raptor
Wake Up
Kill Your Lover
Mom
The Funeral
Custom
The Well
All You Need is Death
Last Straw

Please note that tickets for the March 7 screening of You'll Never Find Me will be available separately as part of general sales from January 29 at 11am (from January 26 at 11am for Cinecard members).","","","","","18","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/4j9bus2zwkv81ru40umojf3mmxh5"
"Gestures of Memory: R21 AKA Restoring Solidarity","2024/03/08 20:30",71,"CCA Cinema","Upon receiving a mystery package containing 16mm film, the filmmaker scanned it to reveal twenty lost films collected by the Japanese activists who were part of the country’s solidarity movement with Palestine. Excerpts of these archival films captured by filmmakers in various countries are collaged to form R21 AKA Restoring Solidarity, an experimental documentary demonstrating resistance across geographies and through a collective voice. 

The act of safeguarding these films plus Yaqubi’s decision to disseminate them, shows the necessity of the preservation and restoration of film as contributing to memory-making in response to colonial systems. 

Upon receiving a mystery package containing 16mm film, the filmmaker scanned these to reveal twenty lost films collected by the Japanese activists who were part of the country’s solidarity movement with Palestine.

Japanese, Arabic and English with English Subtitles
","","Documentary","History","Mohammad Yaqubi ","N/C 15+","","Gestures of Memory: After the Archive","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/ftv8squ8j0nk3or2cmmqgwyrbbez"
"Gestures of Memory: Shorts","2024/03/01 21:00",82,"CCA Cinema","We see how creative interventions can be used to disrupt and reimagine colonial methods of making images through technology, with the images themselves becoming something malleable and objects in their own right. 

These moving-image films are brought together through their shared investigations of image-making in response to place. In a so-called archive, the architecture of the archive is reconsidered to speculate on what it once held, whilst the extraction of material is placed in parallel to the extraction of the camera in Golden Jubilee and Scenes of Extraction. We see how creative interventions can be used to disrupt and reimagine colonial methods of making images through technology, with the images themselves becoming something malleable and objects in their own right. The filmmakers are activators in the process of alternative memory-making in response to personal and collective histories, which expand beyond the image and its hold.

Golden Jubilee
Film on Film / Director Suneil Sanzgiri 
UK/India, 2021, 19m, Konkani/English with subtitles, PG
Thanks to LUX

A So-Called archive
Film on Film / Director Onyeka Igwe 
UK, 2020, 20m, English, PG, Thanks to LUX

Sahnehaye Estekhraj (Scenes of Extraction)
Film on Film / Director Sanaz Sohrabi 
Canada, 2023, 43m, Farsi/English with subtitles","","Shorts","","","N/C 15+","","Gestures of Memory: After the Archive","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/q5q9zloyqu1pajxomnc0zk2ibv3l"
"Gestures of Memory: The Cemetery of Cinema","2024/02/29 20:30",93,"CCA Cinema","The filmmaker embarks on a journey to understand the production behind the first film made in Guinea and French-speaking Africa - Mouramani (1953), directed by Mamadou Touré - and to locate a copy of its print. 

The search for the lost film, which becomes almost mythical in the process, also uncovers a reflection on the importance of physical spaces where records can be stored and accessed, such as the archive as a method for preserving film histories. In turn, the documentary prompts a discussion on the shifting cultural and historical attitudes towards cinema and the various teachings of film education. 

French with subtitles
","Thierno Souleymane Diallo, Penda Lam, Aboubacar Condé","Documentary","","Thierno Souleymane Diallo","N/C 15+","","Gestures of Memory: After the Archive","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/175q1f4vzp3ya738hmq6ijxv204o"
"GFF Youth Takeover: Riddle of Fire","2024/03/03 12:45",113,"GFT 2","Glasgow Film Festival Young Ambassadors Present Riddle of Fire – a special screening for 15-25 card holders which will be followed by a free celebration at Civic House with food and activities, all inspired by the film and curated by our youth team.

After a trio of kids make a deal with their mum over a video game they embark on a fantasy journey in search of a speckled egg in this nostalgic charmer.

Alice, Hazel and Jodie (Phoebe Ferro, Charlie Stover and Skyler Peters) are three young kids who get up to a mountain of mischief. But when their plans to play a new video game are thwarted by a parental password, they strike a deal with their sick-in-bed mum that sees them embark on a forest quest for a speckled egg. Writer/director Weston Razooli channels 1970s nostalgia and the spirit of The Goonies and Moonrise Kingdom in this spirited charmer as the kids get themselves into increasingly difficult situations, including taking on a dangerous outfit known as The Enchanted Blade Gang.

Join us as we journey to Civic House after the screening for a woodsy odyssey of our own featuring crafts, magic and delicious food from Parveen’s canteen – all for free!

Please note tickets to the screening include a meal and entry to Civic House.","Valentina Véliz Caileo, Daniel Antivilo","Action","Adventure, Comedy","Weston Razooli
","N/C 15+","Comic Violence, Mild Threat, Strong Language/swearing","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/bczwmj31fjllo8th1bw1ojuue0v2"
"Godfather: Part II, The","2024/03/04 10:30",202,"GFT 1","PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.

Francis Ford Coppola’s Mafia masterwork is both a sequel and a prequel to The Godfather. Michael tries to legitimise his business, while flashbacks tell the story of his dad Vito.

Francis Ford Coppola’s ambitious Mafia epic won six Oscars, including Best Picture and Best Supporting Actor for Robert De Niro. It’s a crime that Al Pacino lost out in the Best Actor race for his masterful performance as Michael, now the head of the family. He faces threats from within as he aims to consolidate his power and expand the family business into Cuba with the help of ageing boss Hyman Roth (Lee Strasberg). Meanwhile, in flashbacks, we see the story of the young Vito (now played by De Niro) as he arrives as an immigrant and rises to the top."," Al Pacino, Robert De Niro, Robert Duvall","Crime","Drama","Francis Ford Coppola","15","Strong physical violence, Blood, Domestic Abuse","Our Story So Far","https://www.youtube.com/watch?v=9O1Iy9od7-A?si=Q_FauykdUYDvQf0h","https://indy-systems.imgix.net/h33w5ktylt7vndt3pucfvnm0t4up"
"Green Border","2024/03/05 20:00",147,"GFT 2","Director Agnieszka Holland won a Special Jury Prize at Venice for this hard-hitting drama considering the plight of refugees who are shunted back and forth across the no man’s land between Poland and Belarus.

Polish director Agnieszka Holland won a Special Jury Prize at Venice Film Festival for this thought-provoking examination of the European refugee crisis. Her drama explores the plight of those who seek sanctuary in Europe and are shunted back and forth across the no-man’s land forests between Poland and Belarus. Unfolding from the point of view of a Syrian family and an Afghan (Behi Djanati Atai), a conflicted border guard (Tomasz Wlosok) and a psychologist (Maja Ostaszewska) who becomes an activist, Holland has crafted a tough but vital piece of cinema that condemns the West’s indifference and calls for empathy for the refugees’ predicament.
                                                                                                                                                                                      
Polish, Arabic, English and French with English subtitles","Maciej Pisuk, Gabriela Lazarkiewicz, Agnieszka Holland","Drama","","Agnieszka Holland ","N/C 15+","Violence, Strong Language, Racism / discrimination / slurs","","https://www.youtube.com/watch?v=y_fC115sSrA?si=0_CjpgyuixnIzBkV","https://indy-systems.imgix.net/ujzx7g2mfgtgarxx2slrywymvbhi"
"Green Border","2024/03/06 12:30",147,"GFT 2","Director Agnieszka Holland won a Special Jury Prize at Venice for this hard-hitting drama considering the plight of refugees who are shunted back and forth across the no man’s land between Poland and Belarus.

Polish director Agnieszka Holland won a Special Jury Prize at Venice Film Festival for this thought-provoking examination of the European refugee crisis. Her drama explores the plight of those who seek sanctuary in Europe and are shunted back and forth across the no-man’s land forests between Poland and Belarus. Unfolding from the point of view of a Syrian family and an Afghan (Behi Djanati Atai), a conflicted border guard (Tomasz Wlosok) and a psychologist (Maja Ostaszewska) who becomes an activist, Holland has crafted a tough but vital piece of cinema that condemns the West’s indifference and calls for empathy for the refugees’ predicament.
                                                                                                                                                                                      
Polish, Arabic, English and French with English subtitles","Maciej Pisuk, Gabriela Lazarkiewicz, Agnieszka Holland","Drama","","Agnieszka Holland ","N/C 15+","Violence, Strong Language, Racism / discrimination / slurs","","https://www.youtube.com/watch?v=y_fC115sSrA?si=0_CjpgyuixnIzBkV","https://indy-systems.imgix.net/ujzx7g2mfgtgarxx2slrywymvbhi"
"Happy Together","2024/03/06 18:15",96,"GFT 1","Regarded as one of the best LGBT films in the New Queer Cinema movement, this is a rare opportunity to see Wong Kar wai’s empathetic and lonely love story on screen.

Ho Po-Wing and Lai Yiu-Fai, a gay couple from Hong Kong, are visiting Argentina together. Their relationship is one of tug and war, marked by frequent uncouplings and occasional bursts of violence. Finally, one of their splits becomes permanent, but with no money Fai is unable to leave the city. He gets a job at a bar, only seeing Po-Wing from a distance until an almost-fatal incident forces the two together one final time. Wong Kar-wai wraps us up in the rich and fragile coloured world of Fai, Po-Wing and Buenos Aires.

 Cantonese, Mandarin, Spanish and English with English subtitles.""","Leslie Cheung, Tony Leung Chiu-wai, Chang Chen","Romance","Drama, LGBTQ+","Wong Kar wai     ","15","Strong Language, Strong sexual references","love is sweet oh!","https://www.youtube.com/watch?v=5VPvFaAWX9U?si=MfsBiRBbvtyxJo0V","https://indy-systems.imgix.net/d76idk2t5y68fkn3hgfewd7z6fph"
"Hesitation Wound","2024/03/05 18:00",84,"GFT 2","Taut character study observing an intense 24 hours in the life of a lawyer defending a man accused of murder while, at home, she faces difficult decisions regarding her hospitalised mother.

Criminal lawyer Canan (Tülin Özen) is under pressure on the work and home front. Embroiled in a murder trial defending a mentally fragile client (Oğulcan Arman Uslu) who is accused of murdering his boss, in her off hours she argues with her sister (Gülçin Kültür Şahin) about their mother, who is on life-support in hospital. Turkish filmmaker Selman Nacar generates tension from every moment, helped by an emotionally taut performance by Özen as her character faces tough choices that extend well beyond the courtroom.  A drama that hinges on moral dilemma that highlights judicial failings and misogyny along the way. 
                                                          
Turkish with English subtitles","Tülin Özen, Ogulcan Arman Uslu, Gulcin Kultur Sahin","Drama","","Selman Nacar ","N/C 15+","Gore, Self-Harm, Strong Language","","https://www.youtube.com/watch?v=VaFpOwt0w6Q?si=snknQKQ2a2oPVmRm","https://indy-systems.imgix.net/xsoh6nkoekun2txkvivb3tiwyl1q"
"Hesitation Wound","2024/03/06 16:00",84,"GFT 3","Taut character study observing an intense 24 hours in the life of a lawyer defending a man accused of murder while, at home, she faces difficult decisions regarding her hospitalised mother.

Criminal lawyer Canan (Tülin Özen) is under pressure on the work and home front. Embroiled in a murder trial defending a mentally fragile client (Oğulcan Arman Uslu) who is accused of murdering his boss, in her off hours she argues with her sister (Gülçin Kültür Şahin) about their mother, who is on life-support in hospital. Turkish filmmaker Selman Nacar generates tension from every moment, helped by an emotionally taut performance by Özen as her character faces tough choices that extend well beyond the courtroom.  A drama that hinges on moral dilemma that highlights judicial failings and misogyny along the way. 
                                                          
Turkish with English subtitles","Tülin Özen, Ogulcan Arman Uslu, Gulcin Kultur Sahin","Drama","","Selman Nacar ","N/C 15+","Gore, Self-Harm, Strong Language","","https://www.youtube.com/watch?v=VaFpOwt0w6Q?si=snknQKQ2a2oPVmRm","https://indy-systems.imgix.net/xsoh6nkoekun2txkvivb3tiwyl1q"
"High and Low: John Galliano","2024/03/05 20:15",116,"GFT 1","The life and career of the famous fashion designer - including his antisemitic fall from grace and subsequent attempt at redemption - is captured in Oscar-winner Kevin Macdonald's forthright and absorbing documentary.

The talented but controversial fashion designer steps into the spotlight to tell his own story in this eye-opening documentary. It takes us from Galliano’s difficult childhood in East London to show his rise through the haute couture ranks via Givenchy to become the head of Dior. Away from the fashion world, his battle with drug and alcohol addiction and the antisemitic rants that led to a fall from grace are also laid bare. Glasgow-born Oscar-winner Kevin Macdonald (Whitney) explores the man and his contradictions as Galliano confronts his own demons and tries to reconcile what he has done with himself.                                                                                                           

English and French with English subtitles.","Penélope Cruz, Kate Moss, Naomi Campbell","Documentary","","Kevin Macdonald","N/C 15+","Drug Use, Graphic nudity, Racism / discrimination / slurs","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/r6w7pm76k2ag449pl2fbuq5nsjl8"
"High and Low: John Galliano","2024/03/06 12:40",116,"GFT 1","The life and career of the famous fashion designer - including his antisemitic fall from grace and subsequent attempt at redemption - is captured in Oscar-winner Kevin Macdonald's forthright and absorbing documentary.

The talented but controversial fashion designer steps into the spotlight to tell his own story in this eye-opening documentary. It takes us from Galliano’s difficult childhood in East London to show his rise through the haute couture ranks via Givenchy to become the head of Dior. Away from the fashion world, his battle with drug and alcohol addiction and the antisemitic rants that led to a fall from grace are also laid bare. Glasgow-born Oscar-winner Kevin Macdonald (Whitney) explores the man and his contradictions as Galliano confronts his own demons and tries to reconcile what he has done with himself.                                                                                                           

English and French with English subtitles.","Penélope Cruz, Kate Moss, Naomi Campbell","Documentary","","Kevin Macdonald","N/C 15+","Drug Use, Graphic nudity, Racism / discrimination / slurs","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/r6w7pm76k2ag449pl2fbuq5nsjl8"
"Hoard","2024/03/07 20:20",126,"GFT 2","A dark but lyrical study of trauma, loneliness and thwarted sexuality. A young girl's life is charted from living with her troubled mother to later falling in love with one of her foster carer's former charges. 

Debut director Luna Carmoon crafts a raw psychodrama and haunting study of trauma, loneliness and thwarted sexuality. Unfolding in two parts, the first shows young Maria (Lily-Beau Leach) being cared for by her troubled single mum Cynthia (Hayley Squires) as the pair bond on nightly scavenger hunts to feed Cynthia’s obsessive-compulsive hoarding. Cutting to a decade later, Maria (now played by Saura Lightfoot Leon), is living with foster mother Michelle (Samantha Spiro). The return of one of Michelle’s former charges (Stranger Things’s star Joseph Quinn) sees the young pair embark on an intense and bizarre relationship.","Tim Bowie, Ceara Coveney, Sarah Rose Denton","Drama","","Luna Carmoon","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/yma9i2sgfhyc9jzd6lt7zykv7an0"
"Hoard","2024/03/08 13:15",126,"GFT 2","A dark but lyrical study of trauma, loneliness and thwarted sexuality. A young girl's life is charted from living with her troubled mother to later falling in love with one of her foster carer's former charges. 

Debut director Luna Carmoon crafts a raw psychodrama and haunting study of trauma, loneliness and thwarted sexuality. Unfolding in two parts, the first shows young Maria (Lily-Beau Leach) being cared for by her troubled single mum Cynthia (Hayley Squires) as the pair bond on nightly scavenger hunts to feed Cynthia’s obsessive-compulsive hoarding. Cutting to a decade later, Maria (now played by Saura Lightfoot Leon), is living with foster mother Michelle (Samantha Spiro). The return of one of Michelle’s former charges (Stranger Things’s star Joseph Quinn) sees the young pair embark on an intense and bizarre relationship.","Tim Bowie, Ceara Coveney, Sarah Rose Denton","Drama","","Luna Carmoon","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/yma9i2sgfhyc9jzd6lt7zykv7an0"
"Hounds","2024/03/04 20:45",94,"Cineworld Screen 2","Set over a single night, this tightly wound thriller charts a kidnapping gone awry at the hands of a financially struggling father and son who are on a job for the local mob. 

A father (Abdellatif Masstouri) and his son (Ayoub Elaïd) are trying to make ends meet. They find themselves with trouble - and a body - on their hands after taking on what should have been an easy job for the local kingpin (Abdellah Lebkiri). Kamal Lazraq’s fast-paced and tightly wound thriller follows the pair through the night-time streets of Casablanca as they try to dispose of the dead man by dawn - a task made more difficult by Hasan’s spiritual conscience. A gritty and bleak film noir with a hint of mordant humour, lent additional realism by the largely non-professional cast.    
                                                    
Berber Languages and English with English subtitles.","Ayoub Elaid, Abdellatif Masstouri, Mohamed Hmimsa ","Drama","","Kamal Lazra","N/C 15+","Animal Death, Strong Language, Mild physical violence","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/aa5zckf23ecyiyqkn2ax4j6m3kj7"
"Hounds","2024/03/05 18:00",94,"Cineworld Screen 2","Set over a single night, this tightly wound thriller charts a kidnapping gone awry at the hands of a financially struggling father and son who are on a job for the local mob. 

A father (Abdellatif Masstouri) and his son (Ayoub Elaïd) are trying to make ends meet. They find themselves with trouble - and a body - on their hands after taking on what should have been an easy job for the local kingpin (Abdellah Lebkiri). Kamal Lazraq’s fast-paced and tightly wound thriller follows the pair through the night-time streets of Casablanca as they try to dispose of the dead man by dawn - a task made more difficult by Hasan’s spiritual conscience. A gritty and bleak film noir with a hint of mordant humour, lent additional realism by the largely non-professional cast.    
                                                    
Berber Languages and English with English subtitles.","Ayoub Elaid, Abdellatif Masstouri, Mohamed Hmimsa ","Drama","","Kamal Lazra","N/C 15+","Animal Death, Strong Language, Mild physical violence","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/aa5zckf23ecyiyqkn2ax4j6m3kj7"
"I Don't Know Who You Are","2024/02/29 18:30",103,"GFT 3","A musician finds himself in a race against time to raise cash for HIV preventative treatment after a sexual assault. An intimate drama rooted in the director’s own experience.

Newcomer Mark Clennon stars as Canadian musician Benjamin whose life is tilted on its axis after he is sexually assaulted on the way home from a party. Worried about the HIV status of his attacker, he is shocked to discover that his health insurance won’t cover the preventative treatment he needs which must be started within a 72-hour window. With the clock ticking, Benjamin tries to raise the $900 prescription fee as writer/director MH Murray explores the inequalities of both the system and Benjamin’s social circle. An intimate drama rooted in the writer/director’s own experience.   
","Mark Clennon, Anthony Diaz, Nat Patricia Manuel","Drama","LGBTQ+","M.H. Murray","N/C 15+","Violence, Murder, Sexual Assault, Strong Language, Blood, Strong sexual references","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/d5obbfkt0kvqc3d7he9ibvnqvl06"
"I Don't Know Who You Are","2024/03/01 15:30",103,"GFT 3","A musician finds himself in a race against time to raise cash for HIV preventative treatment after a sexual assault. An intimate drama rooted in the director’s own experience.

Newcomer Mark Clennon stars as Canadian musician Benjamin whose life is tilted on its axis after he is sexually assaulted on the way home from a party. Worried about the HIV status of his attacker, he is shocked to discover that his health insurance won’t cover the preventative treatment he needs which must be started within a 72-hour window. With the clock ticking, Benjamin tries to raise the $900 prescription fee as writer/director MH Murray explores the inequalities of both the system and Benjamin’s social circle. An intimate drama rooted in the writer/director’s own experience.   
","Mark Clennon, Anthony Diaz, Nat Patricia Manuel","Drama","LGBTQ+","M.H. Murray","N/C 15+","Violence, Murder, Sexual Assault, Strong Language, Blood, Strong sexual references","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/d5obbfkt0kvqc3d7he9ibvnqvl06"
"I Dream in Photos","2024/03/07 18:15",80,"GFT 3","Festival alumni Gary Lennon and Ollie Aslin (Casto Spies) explore the life and work of photographer Cathal McNaughton on a hiatus from photography, as he reflects on his impressive and emotionally taxing career. 

Northern Irish photographer and winner of the Pulitzer Prize in 2018 Cathal McNaughton contemplates the traumatic effects of photo journalism on his life in Gary Lennon and Ollie Aslin’s second co-directed documentary. After being banned by the Indian government from re-entering the country, Cathal is left stranded in the rural Irish town of his birth, away from his friends, family and his camera equipment. In a state of creative limbo, he dreams of his own formidable photos and the lives he has touched through his work, in a stunning self-reflection that questions the ethics of documenting trauma. ","Cathal McNaughton","Documentary ","","Garry Lennon, Ollie Aslin ","N/C 15+","Mild Bad Language, Images of War","","https://www.youtube.com/watch?v=_LF6R9hweEA?si=NoHD4AgBQ60vVNLU","https://indy-systems.imgix.net/eqkvm34mz62g5qe61qjrlgg7moqm"
"I Dream in Photos","2024/03/08 13:30",80,"GFT 3","Festival alumni Gary Lennon and Ollie Aslin (Casto Spies) explore the life and work of photographer Cathal McNaughton on a hiatus from photography, as he reflects on his impressive and emotionally taxing career. 

Northern Irish photographer and winner of the Pulitzer Prize in 2018 Cathal McNaughton contemplates the traumatic effects of photo journalism on his life in Gary Lennon and Ollie Aslin’s second co-directed documentary. After being banned by the Indian government from re-entering the country, Cathal is left stranded in the rural Irish town of his birth, away from his friends, family and his camera equipment. In a state of creative limbo, he dreams of his own formidable photos and the lives he has touched through his work, in a stunning self-reflection that questions the ethics of documenting trauma. ","Cathal McNaughton","Documentary ","","Garry Lennon, Ollie Aslin ","N/C 15+","Mild Bad Language, Images of War","","https://www.youtube.com/watch?v=_LF6R9hweEA?si=NoHD4AgBQ60vVNLU","https://indy-systems.imgix.net/eqkvm34mz62g5qe61qjrlgg7moqm"
"In Conversation With Viggo Mortensen","2024/03/03 16:00",75,"GFT 1","PLEASE NOTE: Due to anticipated demand for this event, tickets are restricted to one per customer.
_________________________________________________________________________________________________

From becoming a world-wide icon after starring in Lord of the Rings trilogy to working with famed director David Cronenberg to moving behind the camera to direct, Viggo Mortensen has shown his wide range of film-making talents. We are thrilled to welcome Viggo to the festival to dive into his illustrious career which has been distinguished by nuanced and unforgettable performances and has cemented his status as one of the great cinematic storytellers of our time. This is one not to be missed.","","","","","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/mxrnf7gkh17hxsviwknya1j86dr1"
